Item,cvar,beatport_key/1.0,beatport_key/1.0
1034722 Scorpio - Ali Ba-Ba (Original Mix).jams,,85,170
103857 Hatstandy Andy - Emerge And See (Dysfunktional Mix).jams,,109,136
1059355 Barbara Lahr - Pretty Bird (Original Mix).jams,,150,75
1262462 Soul Cube - Phantom Menace (Original Mix).jams,,90,180
1290726 Boduf Songs - They Get On Slowly (Original Mix).jams,,158,79
"1372384 Oso, Kid Of Darkroom Familia - Living Dead (Original Mix).jams",,158,79
1393305 Zoom - Five To Eleven (Original Mix).jams,,140,70
"1453434 Jammer, J Da Flex - Knucklin' (Original Mix).jams",,140,70
1507482 PNC - Who Betta Than This? (Album Version).jams,,150,75
1569491 Flunk - See Through You (Original Mix).jams,,153,76
16484 Kinder Atom - Slow Back (Original Mix).jams,,92,184
1868905 Tayce - Ghost House (Original Mix).jams,,116,174
1883395 Mind Killa - Open Aggression (Original Mix).jams,,117,175
2047805 The Noble Six - Forbidden Kingdom (TwoThirds Remix).jams,,119,177
2090586 Kuana - Steppin' (Kouncilhouse Remix).jams,,89,177
209357 DJ Zinc - Toothbrush (Remix).jams,,87,174
2104436 Phrenik - Rocksteady (Original Mix).jams,,140,70
"2446138 Lucas, Reign - Reign (Original Mix).jams",,140,70
297013 Daniel Ibbotson - Stumble (John Tejada Mix).jams,,66,132
297030 Percy X - Vox Digital (Original Mix).jams,,93,140
"297131 Maas - Look At Me Now, Falling (Zoyd and Prairie Mix).jams",,151,75
297409 Kato - Gone Is Love (Original Mix).jams,,174,87
298860 Soul Mozaics - Word Up (Original Mix).jams,,89,179
299464 Quarks - Dunkeln (Jamie Hodge Mix).jams,,105,158
299491 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,,102,77
299509 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,,102,77
299801 Agnes (ch) - Anger Therapy (Original Mix).jams,,121,180
299968 DJ Nasty - U Scared (Original Mix).jams,,80,160
3010576 Sky'high - Look At Me Now (Clean Edit).jams,,140,70
"3023456 Bones, B. Brain - Insomnia (Original Mix).jams",,92,184
3116337 Speh - Reaching You (Original Mix).jams,,116,87
"3124420 Marco Del Horno, DJ Swerve - Just Rewind feat. Blacks, Lady Chann (Original Mix).jams",,70,140
3139360 Mindscape - Drive By (Original Mix).jams,,86,172
3154894 nCamargo - Closer To Yo (Original Mix).jams,,116,174
3272193 Myth Of Unity - Break Your Neck (Original Mix).jams,,140,70
3445831 Evil Needle - Angel (Original Mix).jams,,120,60
3520807 Fresh Daily - Diamonds feat. Chris Faust (Original Mix).jams,,188,94
"3527620 Paimon, Place 2B - Quite (Original Mix).jams",,86,172
3558946 Philipp Munch - Mountain (Original Mix).jams,,104,78
3607700 Chewie - Survival (Riskotheque Remix).jams,,140,70
3743797 Limonene - Infinity (Original Mix).jams,,100,138
3766235 L.A.O.S - Hush Now (501 Remix).jams,,140,70
384265 Sub Focus - Bluenote (Original Mix).jams,,87,174
3937649 Akira As Astronaughty - You Dont Know Me (DTX Remix).jams,,87,174
3968158 Yagura - The Geofront (Original Mix).jams,,80,160
"402978 Kryptic Minds, Leon Switch - Simple To Lose (Original Mix).jams",,87,174
4151001 Fr33m4n - On Fire (feat. Rascal Mc) (Dubstep Mix).jams,,140,70
4164104 Da Youngfellaz - Cruisin (feat. K-Quick) (Original Mix).jams,,158,79
4188354 E.S.G. - Two Glocks Two Hoes (Original Mix).jams,,170,85
"4188360 Haze, True Facts - Fresh (Original Mix).jams",,140,70
4262086 Jon Game - Knobbin' Up (ft. U.M.B.R.O) (Original Mix).jams,,133,67
4328336 KillBoy - It's Time For Trap (Original Mix).jams,,140,70
4503715 Hedlok - Ryddym Of The Night (Original Mix).jams,,140,70
451169 Rob Jackson - My Crew (Original Mix).jams,,170,85
4572120 Zoomorfos - Acid Rain (Original Mix).jams,,107,160
4623197 Lou Bega - Mambo No. 5 (A Little Bit Of...) [Re-Recorded] (Original Mix).jams,,87,175
"4630401 PIXL, Dead Robot - Dream Of You (Original Mix).jams",,84,168
4631771 The Renegades - Heartbeat (Original Mix).jams,,160,80
4870279 Chop Black - Aggressive (Original Mix).jams,,195,97
4944953 Figure - Are You Afraid of the Dark (feat. Lexi Norton) feat. Lexi Norton (Zardonic Remix).jams,,175,87
497517 Rufige Kru - Vip Riders Chost (The Origin) (Original Mix).jams,,111,83
515806 Canelason - Hommes De Passage (Original Mix).jams,,164,82
5330075 GroYen - Quietude (Original Mix).jams,,140,70
5427061 Fred V & Grafix - Forest Fires feat. Etherwood (Original Mix).jams,,87,174
5492171 DT - Impulse (Original Mix).jams,,93,70
5545112 Candide - Lost in the Sun (Original Mix).jams,,154,77
5575647 Lyptikal - Scanners (Original Mix).jams,,89,180
5622199 Item - Meltdown (Original Mix).jams,,116,87
588558 Thes One - Montage Minnesota (Original Mix).jams,,174,87
5956160 Wrexial - Downlifts (Original Mix).jams,,87,174
5986917 Peter Pearson - Soft Blue (Original Mix).jams,,132,66
6280855 Soultec - Creation (Original Mix).jams,,88,175
6476511 Gucci Mane & Rocko - Wrong Man (Original Mix).jams,,156,78
673637 Fleur Earth - Hundesohn (Original Mix).jams,,143,72
"687544 Otisto 23, Laurent de Wilde, Dual Snake - Compa (Dual Snake Remix).jams",,68,134
787388 Nitrous - Cubik (Original Mix).jams,,119,177
940966 Redeyes - Cruise Ship To The Stars (Chris Su Remix).jams,,86,173
967034 Cause4Concern - Peep Show (Original Mix).jams,,88,174
987207 Puppy Kicker - Everyone's Happy (Original Mix).jams,,68,136
