Item,Reference,Estimate
103857 Hatstandy Andy - Emerge And See (Dysfunktional Mix).jams,109,134
1059355 Barbara Lahr - Pretty Bird (Original Mix).jams,150,77
1127447 Code 3 - Living Proof (Original Mix).jams,85,128
1290726 Boduf Songs - They Get On Slowly (Original Mix).jams,158,80
1446566 J.Rabbit - Too Much Sexy (Original Mix).jams,140,70
1868905 Tayce - Ghost House (Original Mix).jams,116,130
1883395 Mind Killa - Open Aggression (Original Mix).jams,117,168
2047805 The Noble Six - Forbidden Kingdom (TwoThirds Remix).jams,119,90
2061659 Huseyin Balci - Nice To Meet U (Svetlio Remix).jams,126,118
2090586 Kuana - Steppin' (Kouncilhouse Remix).jams,89,134
209357 DJ Zinc - Toothbrush (Remix).jams,87,130
2104436 Phrenik - Rocksteady (Original Mix).jams,140,70
"2446138 Lucas, Reign - Reign (Original Mix).jams",140,70
25702 Midnight Blue - Blessed (Blind Faith Reprise Version 1).jams,130,65
297013 Daniel Ibbotson - Stumble (John Tejada Mix).jams,66,132
297030 Percy X - Vox Digital (Original Mix).jams,93,140
297409 Kato - Gone Is Love (Original Mix).jams,174,88
297811 Polyharmonique - Piango Gemo (Original Mix).jams,84,168
298211 Taxi - People Come Running (Original Mix).jams,114,130
299464 Quarks - Dunkeln (Jamie Hodge Mix).jams,105,156
299491 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,102,151
299509 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,102,151
299968 DJ Nasty - U Scared (Original Mix).jams,80,162
"3023456 Bones, B. Brain - Insomnia (Original Mix).jams",92,186
30278 Neurotron - Indigo (Alectric Mix).jams,126,162
3052009 Radioinactive - Mud (Original Mix).jams,90,179
3116337 Speh - Reaching You (Original Mix).jams,116,88
"3124420 Marco Del Horno, DJ Swerve - Just Rewind feat. Blacks, Lady Chann (Original Mix).jams",70,140
3154894 nCamargo - Closer To Yo (Original Mix).jams,116,88
3218510 Knife - I Am The Boss (Original Mix).jams,140,70
3299235 Jessica Lauren Four - White Mountain (Original Mix).jams,125,158
3520807 Fresh Daily - Diamonds feat. Chris Faust (Original Mix).jams,188,94
"3527620 Paimon, Place 2B - Quite (Original Mix).jams",86,116
3607700 Chewie - Survival (Riskotheque Remix).jams,140,70
3743797 Limonene - Infinity (Original Mix).jams,100,156
384265 Sub Focus - Bluenote (Original Mix).jams,87,173
3968158 Yagura - The Geofront (Original Mix).jams,80,158
4151001 Fr33m4n - On Fire (feat. Rascal Mc) (Dubstep Mix).jams,140,70
4217672 Ridium - Eye Of A Needle (Original Mix).jams,127,168
4503715 Hedlok - Ryddym Of The Night (Original Mix).jams,140,70
4572120 Zoomorfos - Acid Rain (Original Mix).jams,107,162
4596386 Paul SG - Grey Skin (Vendubz Remix).jams,175,86
4623197 Lou Bega - Mambo No. 5 (A Little Bit Of...) [Re-Recorded] (Original Mix).jams,87,175
"4630401 PIXL, Dead Robot - Dream Of You (Original Mix).jams",84,168
4631771 The Renegades - Heartbeat (Original Mix).jams,160,80
466208 Kobain - K.O. Bain (Original Mix).jams,84,168
4870279 Chop Black - Aggressive (Original Mix).jams,195,97
497517 Rufige Kru - Vip Riders Chost (The Origin) (Original Mix).jams,111,168
515806 Canelason - Hommes De Passage (Original Mix).jams,164,82
5330075 GroYen - Quietude (Original Mix).jams,140,70
5492171 DT - Impulse (Original Mix).jams,93,140
5545112 Candide - Lost in the Sun (Original Mix).jams,154,77
5622199 Item - Meltdown (Original Mix).jams,116,130
"5630800 Changes, Spencer Hardwick - Executioner (Original Mix).jams",136,120
588558 Thes One - Montage Minnesota (Original Mix).jams,174,86
5903646 All Out - Electric Mesmerise (Original Mix).jams,136,102
5956160 Wrexial - Downlifts (Original Mix).jams,87,130
5986917 Peter Pearson - Soft Blue (Original Mix).jams,132,66
"6222804 Sonic Entity, Lyktum - Entitum (Original Mix).jams",136,143
6230588 Dark Maestro - Give It Up (Original Mix).jams,175,120
6280855 Soultec - Creation (Original Mix).jams,88,175
6394765 Sayonara - Schon immer so (Original Mix).jams,89,116
673637 Fleur Earth - Hundesohn (Original Mix).jams,143,72
"687544 Otisto 23, Laurent de Wilde, Dual Snake - Compa (Dual Snake Remix).jams",68,135
787388 Nitrous - Cubik (Original Mix).jams,119,130
940966 Redeyes - Cruise Ship To The Stars (Chris Su Remix).jams,86,168
967034 Cause4Concern - Peep Show (Original Mix).jams,88,109
987207 Puppy Kicker - Everyone's Happy (Original Mix).jams,68,136
